Away, Away_Score, Home, Home_Score
Dallas Mavericks, 130, Orlando Magic, 124
Indiana Pacers, 114, Philadelphia 76ers, 130
Denver Nuggets, 118, Chicago Bulls, 112
Utah Jazz, 124, New Orleans Pelicans, 129
Brooklyn Nets, 124, San Antonio Spurs, 113
Cleveland Cavaliers, 101, Houston Rockets, 90
Charlotte Hornets, 111, Portland Trail Blazers, 123
Memphis Grizzlies, 125, Washington Wizards, 111
Los Angeles Clippers, 112, Boston Celtics, 117
Atlanta Hawks, 94, Miami Heat, 80
New York Knicks, 93, San Antonio Spurs, 119
Denver Nuggets, 128, Milwaukee Bucks, 97
Phoenix Suns, 114, Los Angeles Lakers, 104
Indiana Pacers, 114, Cleveland Cavaliers, 111
Utah Jazz, 123, Philadelphia 76ers, 131
Detroit Pistons, 129, Toronto Raptors, 105
Brooklyn Nets, 132, Houston Rockets, 114
Charlotte Hornets, 135, Minnesota Timberwolves, 102
Chicago Bulls, 128, New Orleans Pelicans, 124
Atlanta Hawks, 115, Orlando Magic, 112
Oklahoma City Thunder, 78, Dallas Mavericks, 87
Golden State Warriors, 106, Portland Trail Blazers, 108
Los Angeles Lakers, 120, Sacramento Kings, 123
Toronto Raptors, 125, Boston Celtics, 132
Los Angeles Clippers, 117, Washington Wizards, 119
Detroit Pistons, 104, New York Knicks, 114
Denver Nuggets, 113, Indiana Pacers, 103
Milwaukee Bucks, 112, Memphis Grizzlies, 111
Miami Heat, 103, New Orleans Pelicans, 93
Oklahoma City Thunder, 107, San Antonio Spurs, 102
Golden State Warriors, 98, Phoenix Suns, 120
Sacramento Kings, 119, Portland Trail Blazers, 123
Washington Wizards, 112, Memphis Grizzlies, 127
San Antonio Spurs, 104, Dallas Mavericks, 115
Detroit Pistons, 102, Charlotte Hornets, 105
Boston Celtics, 109, Brooklyn Nets, 121
Atlanta Hawks, 121, Toronto Raptors, 120
Philadelphia 76ers, 127, Chicago Bulls, 105
Orlando Magic, 103, Miami Heat, 111
New York Knicks, 101, Milwaukee Bucks, 134
Minnesota Timberwolves, 135, New Orleans Pelicans, 105
Dallas Mavericks, 108, Oklahoma City Thunder, 116
Golden State Warriors, 104, Los Angeles Clippers, 130
Phoenix Suns, 127, Portland Trail Blazers, 121
Houston Rockets, 105, Sacramento Kings, 125
Denver Nuggets, 103, Memphis Grizzlies, 102
Cleveland Cavaliers, 82, New Orleans Pelicans, 116
Philadelphia 76ers, 127, Washington Wizards, 101
Miami Heat, 101, Chicago Bulls, 90
Orlando Magic, 77, San Antonio Spurs, 104
Houston Rockets, 99, Utah Jazz, 114
Indiana Pacers, 100, Los Angeles Lakers, 105
New York Knicks, 119, Oklahoma City Thunder, 97
Detroit Pistons, 95, Brooklyn Nets, 100
Toronto Raptors, 104, Charlotte Hornets, 114
Milwaukee Bucks, 125, Washington Wizards, 119
Sacramento Kings, 106, Atlanta Hawks, 121
Portland Trail Blazers, 125, Minnesota Timberwolves, 121
Dallas Mavericks, 116, Denver Nuggets, 103
Indiana Pacers, 122, Phoenix Suns, 111
Memphis Grizzlies, 122, Oklahoma City Thunder, 128
Utah Jazz, 119, Golden State Warriors, 131
San Antonio Spurs, 99, Philadelphia 76ers, 134
Miami Heat, 102, Orlando Magic, 97
Cleveland Cavaliers, 82, Atlanta Hawks, 100
Boston Celtics, 134, Houston Rockets, 107
Portland Trail Blazers, 112, Minnesota Timberwolves, 114
Toronto Raptors, 95, Chicago Bulls, 118
Los Angeles Clippers, 115, New Orleans Pelicans, 135
