,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,24.0,242.1,42.5,89.3,0.48,12.4,33.9,0.37,30.1,55.3,0.54,15.7,20.5,0.76,8.7,33.9,42.5,26.8,8.5,5.9,13.8,20.6,113.1,41.0,88.7,0.46,12.9,32.9,0.39,28.1,55.8,0.5,16.9,22.0,0.77,10.5,34.8,45.3,25.3,7.3,5.8,15.2,18.4,111.9,26.8,12.0,12.0,13.0,11.0,1.17,0.44,1.6,112.1,110.9,1.2,100.0,0.23,0.38,0.57,0.55,12.3,20.0,0.18,0.54,13.4,Indiana Pacers
0,23.0,240.0,39.7,89.5,0.44,15.8,41.9,0.38,23.9,47.6,0.5,17.5,21.4,0.82,10.3,32.4,42.7,24.7,9.3,5.7,14.0,22.3,112.7,38.6,84.0,0.46,13.9,37.0,0.38,24.7,47.1,0.52,20.3,25.6,0.8,9.3,35.7,45.0,26.5,6.7,6.0,17.0,19.5,111.4,27.2,10.0,13.0,12.0,11.0,1.3,-0.57,0.73,112.5,111.2,1.3,100.2,0.24,0.47,0.57,0.53,12.4,22.4,0.2,0.54,15.1,Toronto Raptors
0,23.0,241.1,40.0,91.4,0.44,11.9,34.6,0.34,28.1,56.8,0.49,15.0,20.0,0.75,11.0,32.6,43.7,24.0,8.5,5.6,14.5,21.2,106.9,42.4,89.4,0.47,11.4,30.6,0.37,31.0,58.8,0.53,18.8,24.4,0.77,10.4,36.5,47.0,26.1,7.7,6.1,15.1,18.3,115.0,23.4,6.0,17.0,6.0,17.0,-8.17,-0.29,-8.46,105.2,113.2,-8.0,101.2,0.22,0.38,0.53,0.5,12.7,23.2,0.16,0.54,13.1,Minnesota Timberwolves
0,24.0,241.0,40.0,87.9,0.46,12.5,37.0,0.34,27.5,50.9,0.54,18.0,23.3,0.77,8.8,34.0,42.8,22.6,6.9,4.5,12.3,20.8,110.6,40.7,87.0,0.47,13.3,36.0,0.37,27.4,50.9,0.54,18.7,24.2,0.77,10.1,36.4,46.5,23.6,7.6,4.1,14.2,21.6,113.3,26.3,10.0,14.0,10.0,14.0,-2.71,1.92,-0.79,111.1,113.8,-2.7,99.1,0.27,0.42,0.56,0.53,11.1,19.4,0.2,0.54,12.7,Dallas Mavericks
0,22.0,241.1,40.9,92.6,0.44,16.0,42.2,0.38,24.8,50.4,0.49,17.1,21.0,0.82,10.6,33.5,44.1,20.3,7.9,4.9,11.4,19.1,114.9,42.1,87.7,0.48,13.9,36.8,0.38,28.3,51.0,0.56,18.0,22.9,0.79,9.4,37.2,46.5,25.8,6.2,4.9,13.9,18.7,116.2,27.3,12.0,10.0,10.0,12.0,-1.27,0.32,-0.95,114.8,116.1,-1.3,99.6,0.23,0.46,0.56,0.53,10.1,22.2,0.18,0.56,12.4,Portland Trail Blazers
0,22.0,245.7,43.0,90.1,0.48,13.0,34.1,0.38,30.1,56.0,0.54,16.4,21.2,0.77,11.5,33.5,45.0,26.9,8.5,4.2,14.2,20.2,115.4,40.8,85.5,0.48,13.3,35.5,0.38,27.5,50.0,0.55,17.2,22.7,0.76,9.2,31.8,41.0,26.9,7.4,4.4,15.0,21.1,112.1,26.4,12.0,10.0,13.0,9.0,3.32,0.29,3.61,116.1,112.8,3.3,97.1,0.24,0.38,0.58,0.55,12.5,26.5,0.18,0.55,13.5,Denver Nuggets
0,24.0,241.0,38.9,90.5,0.43,11.1,32.0,0.35,27.8,58.5,0.47,16.1,20.4,0.79,11.7,35.0,46.6,22.5,7.0,4.0,13.8,17.7,105.0,42.1,88.5,0.48,12.9,34.8,0.37,29.3,53.8,0.54,15.1,19.7,0.77,9.0,36.2,45.3,25.4,7.8,5.6,13.4,18.6,112.2,26.2,9.0,15.0,7.0,17.0,-7.17,-1.56,-8.73,105.8,113.0,-7.2,98.9,0.23,0.35,0.53,0.49,12.2,24.4,0.18,0.55,12.1,Orlando Magic
0,22.0,240.0,41.4,88.7,0.47,12.4,32.7,0.38,29.0,56.0,0.52,15.8,20.9,0.75,11.0,33.0,44.0,22.5,8.6,5.0,14.2,20.1,111.0,40.0,85.2,0.47,11.6,32.2,0.36,28.5,53.0,0.54,17.5,22.7,0.77,9.6,33.1,42.7,23.1,7.6,5.0,14.9,19.5,109.2,25.5,12.0,10.0,12.0,10.0,1.73,0.02,1.75,112.7,110.9,1.8,98.5,0.24,0.37,0.57,0.54,12.7,24.9,0.18,0.54,13.5,Boston Celtics
0,22.0,244.5,40.5,87.4,0.46,13.0,36.9,0.35,27.5,50.5,0.54,15.5,18.5,0.84,8.6,36.0,44.6,25.8,6.1,4.3,13.9,20.9,109.4,39.6,87.6,0.45,11.2,31.9,0.35,28.4,55.7,0.51,16.4,22.0,0.75,9.6,35.0,44.6,22.2,7.1,3.7,13.0,18.9,106.8,26.6,13.0,9.0,13.0,9.0,2.64,0.1,2.74,110.9,108.2,2.7,96.9,0.21,0.42,0.57,0.54,12.7,19.7,0.18,0.52,11.8,Phoenix Suns
0,23.0,241.1,41.9,88.2,0.47,12.4,33.1,0.38,29.5,55.0,0.54,17.5,24.3,0.72,10.5,33.3,43.9,25.7,6.5,5.3,14.0,19.7,113.7,43.7,91.4,0.48,13.3,34.5,0.39,30.4,56.9,0.53,17.7,21.7,0.81,10.9,34.1,45.0,26.0,8.0,5.3,13.0,20.6,118.2,25.7,12.0,11.0,8.0,15.0,-4.48,1.07,-3.41,113.3,117.8,-4.5,99.9,0.28,0.38,0.57,0.55,12.4,23.6,0.2,0.55,11.4,Sacramento Kings
