Away, Away_Score, Home, Home_Score
Detroit Pistons, 94, Charlotte Hornets, 107
Golden State Warriors, 113, Houston Rockets, 87
Chicago Bulls, 97, Atlanta Hawks, 108
Miami Heat, 124, Cleveland Cavaliers, 107
New Orleans Pelicans, 140, Minnesota Timberwolves, 136
Indiana Pacers, 152, Oklahoma City Thunder, 95
Memphis Grizzlies, 111, Orlando Magic, 112
Washington Wizards, 124, Dallas Mavericks, 125
Denver Nuggets, 110, Los Angeles Clippers, 104
Toronto Raptors, 102, Utah Jazz, 106
Brooklyn Nets, 114, Milwaukee Bucks, 117
Portland Trail Blazers, 129, Boston Celtics, 119
Miami Heat, 121, Charlotte Hornets, 111
Sacramento Kings, 111, Dallas Mavericks, 99
New York Knicks, 122, Houston Rockets, 97
Phoenix Suns, 123, Oklahoma City Thunder, 120
Philadelphia 76ers, 113, San Antonio Spurs, 111
Toronto Raptors, 121, Los Angeles Lakers, 114
Orlando Magic, 119, Detroit Pistons, 112
Indiana Pacers, 141, Washington Wizards, 154
Golden State Warriors, 123, New Orleans Pelicans, 108
Portland Trail Blazers, 114, Atlanta Hawks, 123
Philadelphia 76ers, 106, Chicago Bulls, 94
New York Knicks, 118, Memphis Grizzlies, 104
Denver Nuggets, 89, Los Angeles Lakers, 93
San Antonio Spurs, 99, Utah Jazz, 110
Phoenix Suns, 134, Cleveland Cavaliers, 118
Charlotte Hornets, 102, Detroit Pistons, 99
Brooklyn Nets, 118, Milwaukee Bucks, 124
Dallas Mavericks, 127, Miami Heat, 113
Golden State Warriors, 103, New Orleans Pelicans, 108
Sacramento Kings, 103, Oklahoma City Thunder, 99
Toronto Raptors, 100, Los Angeles Clippers, 105
Boston Celtics, 132, Orlando Magic, 96
Portland Trail Blazers, 141, Cleveland Cavaliers, 105
Phoenix Suns, 103, Atlanta Hawks, 135
Philadelphia 76ers, 135, Houston Rockets, 115
Sacramento Kings, 104, Indiana Pacers, 93
Washington Wizards, 134, Milwaukee Bucks, 135
Memphis Grizzlies, 139, Minnesota Timberwolves, 135
New York Knicks, 97, Denver Nuggets, 113
San Antonio Spurs, 94, Utah Jazz, 126
Chicago Bulls, 120, Charlotte Hornets, 99
Brooklyn Nets, 109, Dallas Mavericks, 113
Washington Wizards, 131, Toronto Raptors, 129
Memphis Grizzlies, 97, Detroit Pistons, 111
Atlanta Hawks, 126, Indiana Pacers, 133
Oklahoma City Thunder, 97, Golden State Warriors, 118
Los Angeles Lakers, 94, Los Angeles Clippers, 118
New Orleans Pelicans, 107, Philadelphia 76ers, 109
Boston Celtics, 99, Chicago Bulls, 121
Orlando Magic, 112, Charlotte Hornets, 122
Minnesota Timberwolves, 112, Miami Heat, 121
Houston Rockets, 133, Milwaukee Bucks, 141
Cleveland Cavaliers, 90, Dallas Mavericks, 110
Denver Nuggets, 120, Utah Jazz, 127
New York Knicks, 105, Phoenix Suns, 128
Los Angeles Lakers, 101, Portland Trail Blazers, 106
San Antonio Spurs, 113, Sacramento Kings, 104
Washington Wizards, 133, Indiana Pacers, 132
Detroit Pistons, 104, Philadelphia 76ers, 118
Memphis Grizzlies, 109, Toronto Raptors, 99
Brooklyn Nets, 125, Denver Nuggets, 119
Oklahoma City Thunder, 97, Golden State Warriors, 136
San Antonio Spurs, 102, Portland Trail Blazers, 124
Houston Rockets, 116, Utah Jazz, 124
Miami Heat, 130, Boston Celtics, 124
New York Knicks, 106, Los Angeles Clippers, 100
New Orleans Pelicans, 112, Charlotte Hornets, 110
Dallas Mavericks, 124, Cleveland Cavaliers, 97
Minnesota Timberwolves, 128, Orlando Magic, 96
Chicago Bulls, 108, Detroit Pistons, 96
Phoenix Suns, 110, Los Angeles Lakers, 123
Oklahoma City Thunder, 98, Sacramento Kings, 126
Washington Wizards, 124, Atlanta Hawks, 125
Indiana Pacers, 111, Cleveland Cavaliers, 102
New Orleans Pelicans, 110, Memphis Grizzlies, 115
Milwaukee Bucks, 125, San Antonio Spurs, 146
Utah Jazz, 116, Golden State Warriors, 119
Houston Rockets, 129, Portland Trail Blazers, 140
Denver Nuggets, 117, Charlotte Hornets, 112
Minnesota Timberwolves, 119, Detroit Pistons, 100
Miami Heat, 129, Boston Celtics, 121
Los Angeles Clippers, 115, Toronto Raptors, 96
Brooklyn Nets, 115, Chicago Bulls, 107
Philadelphia 76ers, 94, Indiana Pacers, 103
Dallas Mavericks, 104, Memphis Grizzlies, 133
Orlando Magic, 102, Milwaukee Bucks, 114
Phoenix Suns, 116, Golden State Warriors, 122
New York Knicks, 99, Los Angeles Lakers, 101
Oklahoma City Thunder, 106, Sacramento Kings, 122
Washington Wizards, 116, Atlanta Hawks, 120
San Antonio Spurs, 116, Brooklyn Nets, 128
Boston Celtics, 94, Cleveland Cavaliers, 102
New Orleans Pelicans, 107, Dallas Mavericks, 125
Portland Trail Blazers, 105, Utah Jazz, 98
Houston Rockets, 122, Los Angeles Lakers, 124
Los Angeles Clippers, 113, Charlotte Hornets, 90
Milwaukee Bucks, 142, Indiana Pacers, 133
Orlando Magic, 93, Atlanta Hawks, 116
Philadelphia 76ers, 94, Miami Heat, 106
San Antonio Spurs, 98, New York Knicks, 102
Toronto Raptors, 102, Chicago Bulls, 114
Sacramento Kings, 110, Memphis Grizzlies, 116
Denver Nuggets, 114, Minnesota Timberwolves, 103
Portland Trail Blazers, 117, Phoenix Suns, 118
Cleveland Cavaliers, 105, Washington Wizards, 120
