,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,49.0,240.5,40.6,90.9,0.45,16.3,42.6,0.38,24.3,48.3,0.5,17.6,21.2,0.83,10.7,33.2,43.8,20.4,7.2,5.2,11.4,19.3,115.2,42.0,87.7,0.48,12.9,34.6,0.37,29.1,53.1,0.55,17.8,23.0,0.77,10.0,35.8,45.8,25.2,6.1,4.5,13.0,18.8,114.8,27.3,30.0,19.0,25.0,24.0,0.41,-0.72,-0.31,116.9,116.5,0.4,98.3,0.23,0.47,0.57,0.54,10.2,22.9,0.19,0.55,11.7,Portland Trail Blazers
0,51.0,240.0,41.9,86.9,0.48,14.3,34.4,0.42,27.6,52.5,0.53,16.3,19.4,0.84,9.7,34.7,44.4,24.0,7.3,4.3,13.0,19.2,114.3,40.3,86.4,0.47,11.5,31.5,0.36,28.8,54.8,0.53,15.8,20.2,0.78,8.7,32.3,41.1,22.9,7.0,3.7,13.0,17.8,107.9,29.0,33.0,18.0,35.0,16.0,6.37,0.09,6.46,117.7,111.2,6.5,97.1,0.22,0.4,0.6,0.56,12.0,23.0,0.19,0.53,12.0,Los Angeles Clippers
0,49.0,241.5,38.8,87.1,0.45,12.8,36.7,0.35,26.0,50.4,0.52,15.4,20.9,0.74,8.7,36.3,45.0,22.4,6.9,4.5,15.2,17.8,105.8,42.8,91.5,0.47,13.0,36.7,0.35,29.9,54.8,0.54,14.5,19.0,0.76,10.0,37.3,47.3,24.7,8.6,4.8,12.9,18.4,113.1,23.4,20.0,29.0,14.0,35.0,-7.39,0.47,-6.92,104.9,112.2,-7.3,100.2,0.24,0.42,0.55,0.52,13.7,19.0,0.18,0.54,11.4,Oklahoma City Thunder
0,48.0,240.5,41.6,89.5,0.47,10.5,30.7,0.34,31.1,58.8,0.53,19.8,26.1,0.76,9.2,34.9,44.0,24.6,7.2,3.8,14.6,22.2,113.5,43.0,91.0,0.47,13.0,33.9,0.38,30.0,57.0,0.53,20.1,25.9,0.78,10.4,36.7,47.0,24.2,8.1,4.8,14.8,22.4,119.1,26.3,17.0,31.0,16.0,32.0,-5.58,0.62,-4.96,108.8,114.2,-5.4,104.0,0.29,0.34,0.56,0.52,12.6,20.0,0.22,0.54,12.6,Washington Wizards
0,50.0,242.5,43.3,87.7,0.49,14.3,36.4,0.39,29.0,51.3,0.57,17.8,22.2,0.8,9.0,35.3,44.3,26.6,6.6,5.1,13.7,18.9,118.7,42.2,91.2,0.46,13.0,35.8,0.36,29.2,55.4,0.53,16.8,21.6,0.78,10.1,32.3,42.4,24.5,7.6,4.6,12.6,18.8,114.3,28.2,34.0,16.0,32.0,18.0,4.44,-0.72,3.73,118.3,113.8,4.5,99.4,0.25,0.42,0.61,0.57,12.3,21.7,0.2,0.53,11.1,Brooklyn Nets
0,49.0,240.5,44.5,91.2,0.49,14.6,37.2,0.39,29.9,54.0,0.55,15.7,20.8,0.75,10.3,37.8,48.1,25.7,8.1,4.8,14.2,17.2,119.2,42.1,92.9,0.45,14.6,38.8,0.38,27.5,54.1,0.51,14.0,17.8,0.79,9.6,33.7,43.2,25.1,7.1,4.8,13.2,18.3,112.9,28.0,32.0,17.0,33.0,16.0,6.37,-0.15,6.21,116.8,110.5,6.3,101.9,0.23,0.41,0.59,0.57,12.4,23.5,0.17,0.53,11.6,Milwaukee Bucks
0,48.0,242.1,42.6,88.9,0.48,12.3,33.5,0.37,30.3,55.4,0.55,15.1,18.8,0.8,9.5,35.3,44.8,26.4,6.6,4.3,15.6,19.6,112.6,42.3,88.8,0.48,11.4,32.4,0.35,30.9,56.4,0.55,17.9,23.1,0.78,8.9,33.3,42.2,24.0,8.4,5.0,13.1,18.5,113.9,25.2,20.0,28.0,22.0,26.0,-1.27,-0.03,-1.31,111.3,112.6,-1.3,100.2,0.21,0.38,0.58,0.55,13.8,22.2,0.17,0.54,11.7,Chicago Bulls
0,50.0,242.0,38.5,83.8,0.46,12.6,36.5,0.34,25.9,47.3,0.55,16.9,21.4,0.79,8.0,34.7,42.6,26.0,7.3,4.1,14.6,19.0,106.4,38.5,86.6,0.45,14.6,40.2,0.36,24.0,46.4,0.52,15.5,19.7,0.79,10.2,33.8,44.0,25.3,7.8,4.2,15.1,20.2,107.1,27.0,26.0,24.0,24.0,26.0,-0.68,-0.07,-0.75,108.8,109.5,-0.7,97.0,0.26,0.44,0.57,0.53,13.6,19.0,0.2,0.53,13.7,Miami Heat
0,50.0,240.5,40.6,88.3,0.46,13.7,37.3,0.37,26.9,51.0,0.53,16.9,21.7,0.78,7.9,34.7,42.6,27.2,8.0,4.9,15.0,21.7,111.8,40.3,88.7,0.45,12.8,34.8,0.37,27.5,54.0,0.51,20.5,26.3,0.78,10.6,37.5,48.1,24.0,7.7,4.8,15.3,20.3,114.0,26.6,23.0,27.0,22.0,28.0,-2.16,0.61,-1.55,108.9,111.0,-2.1,102.5,0.25,0.42,0.57,0.54,13.3,17.4,0.19,0.53,13.2,Golden State Warriors
0,49.0,243.1,43.6,89.2,0.49,13.3,34.2,0.39,30.3,55.0,0.55,14.9,19.1,0.78,10.6,33.7,44.3,27.0,8.1,4.4,13.4,18.8,115.3,40.2,85.8,0.47,13.0,35.8,0.36,27.2,49.9,0.54,16.7,21.5,0.78,9.5,31.8,41.3,26.2,7.3,4.4,14.1,19.4,110.0,25.9,31.0,18.0,32.0,17.0,5.31,0.02,5.32,117.8,112.4,5.4,96.7,0.21,0.38,0.59,0.56,12.1,25.0,0.17,0.54,12.9,Denver Nuggets
0,48.0,242.6,43.0,87.7,0.49,12.9,34.3,0.38,30.0,53.4,0.56,15.4,18.5,0.83,8.4,35.0,43.4,27.2,6.8,4.3,13.0,19.5,114.2,39.5,87.0,0.45,11.3,32.9,0.34,28.2,54.1,0.52,16.9,22.0,0.77,9.8,33.4,43.2,21.9,7.0,3.7,13.2,18.0,107.2,26.7,34.0,14.0,34.0,14.0,7.0,-0.47,6.53,116.3,109.1,7.2,97.2,0.21,0.39,0.6,0.56,12.0,20.1,0.17,0.52,12.0,Phoenix Suns
0,50.0,241.5,40.1,91.1,0.44,12.6,36.5,0.35,27.4,54.6,0.5,16.4,21.3,0.77,10.3,32.6,42.9,24.9,8.7,5.7,14.2,21.2,109.1,42.9,89.3,0.48,12.4,31.9,0.39,30.4,57.4,0.53,18.8,23.9,0.79,10.3,36.6,46.8,26.2,7.4,5.8,15.1,19.1,117.0,23.2,12.0,38.0,14.0,36.0,-7.86,0.24,-7.62,107.0,114.7,-7.7,101.3,0.23,0.4,0.54,0.51,12.4,21.9,0.18,0.55,13.2,Minnesota Timberwolves
