Away, Away_Score, Home, Home_Score
Los Angeles Lakers, 107, Atlanta Hawks, 99
Charlotte Hornets, 129, Miami Heat, 121
New York Knicks, 102, Chicago Bulls, 110
Minnesota Timberwolves, 98, Cleveland Cavaliers, 100
Portland Trail Blazers, 106, Milwaukee Bucks, 134
Sacramento Kings, 118, New Orleans Pelicans, 109
Houston Rockets, 136, Oklahoma City Thunder, 106
Phoenix Suns, 109, Dallas Mavericks, 108
Memphis Grizzlies, 133, San Antonio Spurs, 102
Toronto Raptors, 123, Orlando Magic, 108
Los Angeles Clippers, 120, Brooklyn Nets, 124
Memphis Grizzlies, 116, Indiana Pacers, 134
Portland Trail Blazers, 132, Washington Wizards, 121
Boston Celtics, 111, Golden State Warriors, 107
Detroit Pistons, 105, Utah Jazz, 117
Philadelphia 76ers, 118, Charlotte Hornets, 111
Indiana Pacers, 110, Milwaukee Bucks, 130
Dallas Mavericks, 122, Atlanta Hawks, 116
New York Knicks, 107, Chicago Bulls, 103
Los Angeles Clippers, 121, Cleveland Cavaliers, 99
Washington Wizards, 103, Miami Heat, 100
Houston Rockets, 87, Oklahoma City Thunder, 104
Minnesota Timberwolves, 108, San Antonio Spurs, 111
Phoenix Suns, 101, New Orleans Pelicans, 123
Boston Celtics, 111, Sacramento Kings, 116
Utah Jazz, 112, Atlanta Hawks, 91
Golden State Warriors, 147, Dallas Mavericks, 116
Portland Trail Blazers, 121, Philadelphia 76ers, 105
Houston Rockets, 115, Memphis Grizzlies, 103
Denver Nuggets, 93, Los Angeles Lakers, 114
New Orleans Pelicans, 114, Indiana Pacers, 113
Chicago Bulls, 119, Orlando Magic, 123
Toronto Raptors, 123, Brooklyn Nets, 117
Milwaukee Bucks, 123, Cleveland Cavaliers, 105
Utah Jazz, 138, Charlotte Hornets, 121
Washington Wizards, 95, Miami Heat, 122
Minnesota Timberwolves, 106, Oklahoma City Thunder, 103
Detroit Pistons, 92, Phoenix Suns, 109
Boston Celtics, 119, Los Angeles Clippers, 115
Portland Trail Blazers, 99, New York Knicks, 110
Denver Nuggets, 114, Sacramento Kings, 119
Chicago Bulls, 118, Orlando Magic, 92
Toronto Raptors, 121, Atlanta Hawks, 132
Milwaukee Bucks, 124, Cleveland Cavaliers, 99
San Antonio Spurs, 111, Houston Rockets, 106
Minnesota Timberwolves, 118, Oklahoma City Thunder, 120
Brooklyn Nets, 108, Philadelphia 76ers, 124
Golden State Warriors, 132, Dallas Mavericks, 134
Memphis Grizzlies, 109, New Orleans Pelicans, 118
Detroit Pistons, 129, Los Angeles Lakers, 135
Washington Wizards, 97, Charlotte Hornets, 119
Utah Jazz, 103, Indiana Pacers, 95
Miami Heat, 109, New York Knicks, 103
Boston Celtics, 91, Phoenix Suns, 100
Sacramento Kings, 113, Los Angeles Clippers, 110
