Away, Away_Score, Home, Home_Score
Memphis Grizzlies, 108, Charlotte Hornets, 93
Miami Heat, 83, Dallas Mavericks, 93
Boston Celtics, 93, Detroit Pistons, 96
Atlanta Hawks, 114, Brooklyn Nets, 96
Chicago Bulls, 96, Milwaukee Bucks, 126
Washington Wizards, 130, Minnesota Timberwolves, 109
Los Angeles Lakers, 109, San Antonio Spurs, 103
Phoenix Suns, 106, Denver Nuggets, 103
Los Angeles Clippers, 100, Utah Jazz, 106
Portland Trail Blazers, 123, Golden State Warriors, 98
Sacramento Kings, 94, Houston Rockets, 102
New York Knicks, 106, Indiana Pacers, 102
Oklahoma City Thunder, 108, Orlando Magic, 99
Charlotte Hornets, 112, Philadelphia 76ers, 127
Cleveland Cavaliers, 96, Atlanta Hawks, 91
Toronto Raptors, 116, New Orleans Pelicans, 120
Boston Celtics, 122, Detroit Pistons, 120
Washington Wizards, 123, Brooklyn Nets, 122
Los Angeles Lakers, 108, Memphis Grizzlies, 94
Denver Nuggets, 124, Minnesota Timberwolves, 109
Utah Jazz, 130, San Antonio Spurs, 109
Dallas Mavericks, 108, Chicago Bulls, 118
Los Angeles Clippers, 112, Phoenix Suns, 107
Portland Trail Blazers, 122, Golden State Warriors, 137
Cleveland Cavaliers, 83, Orlando Magic, 103
Charlotte Hornets, 101, Philadelphia 76ers, 118
New York Knicks, 113, Atlanta Hawks, 108
Oklahoma City Thunder, 90, Miami Heat, 118
Boston Celtics, 126, Toronto Raptors, 114
Dallas Mavericks, 113, Houston Rockets, 100
Detroit Pistons, 115, Milwaukee Bucks, 125
Indiana Pacers, 118, New Orleans Pelicans, 116
Sacramento Kings, 106, Golden State Warriors, 137
Utah Jazz, 96, Brooklyn Nets, 130
Los Angeles Lakers, 94, Memphis Grizzlies, 92
Minnesota Timberwolves, 116, Denver Nuggets, 123
San Antonio Spurs, 116, Los Angeles Clippers, 113
Chicago Bulls, 111, Portland Trail Blazers, 108
Houston Rockets, 107, Indiana Pacers, 114
