,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,24.0,241.0,40.1,91.4,0.44,12.1,34.9,0.35,28.0,56.5,0.49,15.2,20.4,0.75,10.9,32.7,43.5,24.1,8.5,5.6,14.3,21.4,107.5,42.5,89.3,0.48,11.5,30.8,0.37,31.0,58.6,0.53,19.1,24.7,0.77,10.4,36.6,47.0,26.3,7.6,6.1,15.0,18.5,115.5,23.4,6.0,18.0,6.0,18.0,-8.04,-0.36,-8.4,105.7,113.6,-7.9,101.2,0.22,0.38,0.54,0.51,12.5,22.9,0.17,0.54,13.1,Minnesota Timberwolves
0,22.0,241.1,40.9,92.6,0.44,16.0,42.2,0.38,24.8,50.4,0.49,17.1,21.0,0.82,10.6,33.5,44.1,20.3,7.9,4.9,11.4,19.1,114.9,42.1,87.7,0.48,13.9,36.8,0.38,28.3,51.0,0.56,18.0,22.9,0.79,9.4,37.2,46.5,25.8,6.2,4.9,13.9,18.7,116.2,27.3,12.0,10.0,10.0,12.0,-1.27,0.22,-1.06,114.8,116.1,-1.3,99.6,0.23,0.46,0.56,0.53,10.1,22.2,0.18,0.56,12.4,Portland Trail Blazers
0,24.0,240.0,41.0,89.0,0.46,14.0,37.8,0.37,26.9,51.3,0.53,18.0,23.2,0.77,8.1,35.8,43.9,27.2,7.6,5.4,14.5,23.0,113.9,39.4,89.4,0.44,13.3,35.9,0.37,26.1,53.5,0.49,21.8,28.0,0.78,11.3,37.2,48.5,23.3,7.2,4.8,15.3,21.1,113.8,26.9,12.0,12.0,12.0,12.0,0.08,0.7,0.78,110.3,110.2,0.1,103.3,0.26,0.42,0.57,0.54,12.8,17.9,0.2,0.52,13.0,Golden State Warriors
0,25.0,240.0,38.3,85.3,0.45,9.8,27.6,0.35,28.5,57.7,0.49,16.4,21.5,0.76,10.6,36.0,46.6,21.0,6.6,5.0,13.8,20.7,102.7,37.8,86.6,0.44,12.0,37.8,0.32,25.8,48.7,0.53,16.5,22.0,0.75,10.4,34.4,44.7,22.5,6.5,5.7,11.4,18.8,104.1,24.5,11.0,14.0,11.0,14.0,-1.4,0.24,-1.16,107.6,109.1,-1.5,95.5,0.25,0.32,0.54,0.51,12.7,23.6,0.19,0.51,10.6,New York Knicks
0,21.0,240.0,41.1,90.7,0.45,11.8,34.1,0.35,29.3,56.5,0.52,19.8,26.2,0.76,10.1,33.6,43.7,25.0,7.0,3.9,13.9,22.5,113.8,42.5,88.5,0.48,13.4,34.4,0.39,29.1,54.1,0.54,21.6,27.3,0.79,9.4,37.4,46.8,24.2,7.7,4.3,14.8,21.8,120.1,26.3,6.0,15.0,7.0,14.0,-6.29,-1.29,-7.57,109.8,115.9,-6.1,103.6,0.29,0.38,0.56,0.52,12.0,21.3,0.22,0.56,12.8,Washington Wizards
0,24.0,241.0,41.6,87.0,0.48,10.8,30.0,0.36,30.8,57.0,0.54,20.1,26.1,0.77,10.3,35.3,45.5,23.5,9.1,6.4,16.0,20.3,114.1,39.9,89.4,0.45,12.7,34.3,0.37,27.2,55.1,0.49,17.7,23.1,0.77,10.4,32.7,43.0,24.4,7.6,4.4,15.5,21.7,110.1,26.7,17.0,7.0,15.0,9.0,3.96,-1.16,2.8,111.9,108.0,3.9,101.5,0.3,0.34,0.58,0.54,14.0,24.0,0.23,0.52,13.5,Philadelphia 76ers
0,23.0,241.1,42.2,88.5,0.48,13.3,35.6,0.37,28.9,53.0,0.55,16.8,21.1,0.8,8.9,35.2,44.1,26.0,7.6,4.1,16.5,20.7,114.5,42.0,88.7,0.47,12.4,34.1,0.36,29.6,54.6,0.54,19.3,25.2,0.77,9.3,34.0,43.3,24.0,8.5,4.0,14.8,20.3,115.7,25.0,9.0,14.0,11.0,12.0,-1.26,-0.84,-2.1,111.0,112.2,-1.2,102.7,0.24,0.4,0.58,0.55,14.4,20.8,0.19,0.54,12.9,Chicago Bulls
0,23.0,246.5,38.2,89.2,0.43,12.8,36.5,0.35,25.3,52.7,0.48,19.2,24.6,0.78,10.7,32.1,42.8,23.8,8.0,4.8,15.1,21.1,108.4,41.8,86.3,0.48,13.1,33.4,0.39,28.7,52.8,0.54,16.9,22.6,0.75,9.9,36.0,45.9,25.4,7.7,6.1,16.5,21.9,113.7,26.1,5.0,18.0,8.0,15.0,-5.26,2.31,-2.95,107.3,112.5,-5.2,98.4,0.28,0.41,0.54,0.5,13.1,23.0,0.22,0.56,14.7,Detroit Pistons
0,24.0,240.0,40.7,87.8,0.46,17.0,42.1,0.4,23.8,45.8,0.52,15.9,20.9,0.76,11.5,38.0,49.5,23.8,5.8,5.8,14.6,18.6,114.3,40.3,92.0,0.44,11.0,31.6,0.35,29.3,60.4,0.48,14.0,18.2,0.77,10.1,32.2,42.3,22.5,7.6,4.5,11.2,19.2,105.7,28.5,19.0,5.0,18.0,6.0,8.54,0.06,8.6,116.3,107.6,8.7,98.2,0.24,0.48,0.59,0.56,13.1,26.2,0.18,0.5,10.0,Utah Jazz
0,19.0,241.3,42.1,91.5,0.46,11.1,31.4,0.35,31.1,60.2,0.52,14.7,18.7,0.79,11.0,33.9,44.9,28.1,9.8,5.4,13.9,18.6,109.9,40.5,86.6,0.47,13.1,33.4,0.39,27.5,53.3,0.52,16.6,21.7,0.77,9.7,34.8,44.5,25.8,8.2,6.1,16.1,17.5,110.7,24.7,9.0,10.0,9.0,10.0,-0.79,0.67,-0.12,109.6,110.4,-0.8,99.8,0.2,0.34,0.55,0.52,12.3,24.0,0.16,0.54,14.3,Memphis Grizzlies
