Away, Away_Score, Home, Home_Score
Sacramento Kings, 116, Charlotte Hornets, 122
Milwaukee Bucks, 133, Washington Wizards, 122
New York Knicks, 112, Brooklyn Nets, 117
San Antonio Spurs, 109, Detroit Pistons, 99
Los Angeles Clippers, 109, Dallas Mavericks, 99
Indiana Pacers, 106, Denver Nuggets, 121
Memphis Grizzlies, 99, Phoenix Suns, 122
Los Angeles Lakers, 128, Golden State Warriors, 97
Utah Jazz, 117, Boston Celtics, 109
Oklahoma City Thunder, 102, Chicago Bulls, 123
Atlanta Hawks, 119, Houston Rockets, 107
Cleveland Cavaliers, 98, Miami Heat, 113
New York Knicks, 96, Philadelphia 76ers, 99
New Orleans Pelicans, 124, Portland Trail Blazers, 125
Minnesota Timberwolves, 121, Los Angeles Lakers, 137
Toronto Raptors, 112, Detroit Pistons, 116
Brooklyn Nets, 124, Indiana Pacers, 115
Milwaukee Bucks, 109, Philadelphia 76ers, 105
Sacramento Kings, 121, Washington Wizards, 119
San Antonio Spurs, 106, Chicago Bulls, 99
Boston Celtics, 110, Cleveland Cavaliers, 117
Golden State Warriors, 108, Houston Rockets, 94
Charlotte Hornets, 104, Denver Nuggets, 129
Miami Heat, 85, Memphis Grizzlies, 89
Los Angeles Clippers, 89, Dallas Mavericks, 105
Utah Jazz, 122, Washington Wizards, 131
Oklahoma City Thunder, 93, Atlanta Hawks, 116
Orlando Magic, 93, New York Knicks, 94
Minnesota Timberwolves, 123, Phoenix Suns, 119
New Orleans Pelicans, 93, Portland Trail Blazers, 101
Charlotte Hornets, 105, Los Angeles Lakers, 116
Sacramento Kings, 107, Boston Celtics, 96
San Antonio Spurs, 116, Cleveland Cavaliers, 110
Detroit Pistons, 113, Houston Rockets, 100
Golden State Warriors, 116, Memphis Grizzlies, 103
Indiana Pacers, 137, Miami Heat, 110
Brooklyn Nets, 113, Orlando Magic, 121
Utah Jazz, 115, Toronto Raptors, 112
Chicago Bulls, 127, Denver Nuggets, 131
Minnesota Timberwolves, 101, Phoenix Suns, 113
Dallas Mavericks, 119, Portland Trail Blazers, 125
Atlanta Hawks, 99, Los Angeles Lakers, 94
Golden State Warriors, 103, Memphis Grizzlies, 111
Sacramento Kings, 105, Philadelphia 76ers, 129
San Antonio Spurs, 113, Milwaukee Bucks, 120
Charlotte Hornets, 98, Los Angeles Clippers, 125
Indiana Pacers, 109, Miami Heat, 106
Oklahoma City Thunder, 114, Houston Rockets, 112
New Orleans Pelicans, 113, Denver Nuggets, 108
Orlando Magic, 96, Boston Celtics, 112
Washington Wizards, 106, Brooklyn Nets, 113
Toronto Raptors, 105, Cleveland Cavaliers, 116
Chicago Bulls, 100, Detroit Pistons, 86
Philadelphia 76ers, 101, New York Knicks, 100
Los Angeles Lakers, 94, Phoenix Suns, 111
Dallas Mavericks, 132, Portland Trail Blazers, 92
