,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,42.0,240.6,38.5,89.4,0.43,12.0,33.7,0.36,26.5,55.7,0.47,15.5,19.7,0.79,10.5,36.1,46.5,22.6,6.7,4.1,13.3,16.8,104.5,41.5,88.7,0.47,13.8,37.5,0.37,27.7,51.2,0.54,14.5,18.7,0.78,8.7,37.1,45.9,25.7,7.8,5.0,12.6,18.1,111.3,26.7,14.0,28.0,12.0,30.0,-6.81,-0.52,-7.33,105.7,112.6,-6.9,98.6,0.22,0.38,0.53,0.5,12.0,22.0,0.17,0.55,11.5,Orlando Magic
0,41.0,242.4,42.8,87.4,0.49,13.2,34.4,0.38,29.6,53.0,0.56,15.3,18.4,0.83,8.2,35.2,43.4,27.3,6.6,4.3,13.4,19.9,114.1,39.7,86.7,0.46,11.0,32.1,0.34,28.7,54.6,0.53,17.0,22.3,0.76,9.4,33.5,42.9,21.9,7.2,3.8,13.2,18.0,107.5,26.7,28.0,13.0,29.0,12.0,6.59,-0.18,6.4,115.8,109.1,6.7,97.6,0.21,0.39,0.6,0.56,12.3,19.6,0.17,0.52,12.0,Phoenix Suns
0,43.0,242.9,43.7,87.4,0.5,14.7,36.9,0.4,29.0,50.5,0.57,18.2,22.8,0.8,8.7,35.1,43.8,26.7,6.6,5.3,14.1,19.0,120.2,43.0,92.1,0.47,12.8,35.0,0.36,30.3,57.2,0.53,16.4,21.1,0.78,10.0,32.2,42.3,24.7,7.8,4.4,12.7,18.8,115.2,28.2,29.0,14.0,28.0,15.0,5.0,-0.58,4.42,118.8,113.9,4.9,99.9,0.26,0.42,0.62,0.58,12.6,21.2,0.21,0.54,11.2,Brooklyn Nets
0,42.0,241.2,42.9,88.5,0.48,11.2,31.6,0.35,31.7,56.8,0.56,18.3,25.0,0.73,11.8,34.6,46.5,26.2,7.2,4.1,14.2,17.6,115.3,41.7,88.1,0.47,15.4,39.5,0.39,26.3,48.6,0.54,16.5,20.3,0.81,8.8,31.4,40.2,26.7,7.5,5.7,13.0,20.9,115.2,24.9,18.0,24.0,21.0,21.0,0.12,0.13,0.25,116.1,116.0,0.1,98.8,0.28,0.36,0.58,0.55,12.5,27.4,0.21,0.56,11.9,New Orleans Pelicans
0,42.0,240.6,41.4,88.4,0.47,12.5,33.5,0.37,28.9,54.9,0.53,16.5,21.7,0.76,11.1,32.8,44.0,22.7,8.0,5.1,14.0,20.9,111.7,39.6,85.0,0.47,12.6,34.3,0.37,27.0,50.8,0.53,19.0,23.9,0.8,9.4,32.3,41.7,23.4,7.1,5.0,14.2,19.7,110.8,25.4,21.0,21.0,22.0,20.0,0.88,0.2,1.08,113.9,113.0,0.9,97.8,0.25,0.38,0.57,0.54,12.5,25.6,0.19,0.54,12.9,Boston Celtics
0,42.0,243.6,43.6,89.3,0.49,13.5,34.7,0.39,30.1,54.6,0.55,15.3,19.5,0.78,10.2,33.7,43.9,26.9,8.2,4.3,13.5,19.3,115.9,40.4,86.1,0.47,12.9,35.9,0.36,27.5,50.2,0.55,16.9,22.1,0.77,9.8,32.1,41.9,26.6,7.1,4.3,14.4,19.7,110.7,25.9,25.0,17.0,28.0,14.0,5.19,0.08,5.27,117.6,112.3,5.3,97.1,0.22,0.39,0.59,0.56,12.1,24.1,0.17,0.55,13.1,Denver Nuggets
0,41.0,240.6,40.8,88.2,0.46,13.9,36.3,0.38,26.9,51.9,0.52,16.6,21.4,0.77,10.6,33.3,43.9,27.1,8.2,4.6,15.6,18.5,112.0,42.0,88.3,0.47,14.9,40.3,0.37,27.0,48.0,0.56,14.7,19.6,0.75,10.2,34.5,44.8,28.2,8.3,5.1,15.5,19.0,113.5,24.6,20.0,21.0,19.0,22.0,-1.46,0.1,-1.36,111.8,113.2,-1.4,100.0,0.24,0.41,0.57,0.54,13.7,23.5,0.19,0.56,13.8,Charlotte Hornets
0,43.0,242.3,38.3,83.9,0.46,12.5,36.5,0.34,25.8,47.3,0.55,17.2,21.6,0.8,7.9,34.9,42.8,25.7,7.5,4.0,15.1,19.2,106.3,38.6,87.1,0.44,14.7,40.6,0.36,23.9,46.6,0.51,15.7,19.9,0.79,10.5,33.9,44.4,25.5,8.1,4.0,15.3,20.4,107.6,26.9,22.0,21.0,20.0,23.0,-1.21,-0.03,-1.24,108.1,109.3,-1.2,97.5,0.26,0.43,0.57,0.53,13.9,18.8,0.2,0.53,13.8,Miami Heat
0,42.0,243.6,38.3,86.7,0.44,12.3,35.2,0.35,26.0,51.5,0.51,18.2,23.5,0.77,10.2,32.7,42.9,24.3,7.9,5.0,14.6,20.3,107.1,41.0,85.8,0.48,11.8,31.8,0.37,29.2,54.0,0.54,17.1,22.5,0.76,9.8,34.8,44.6,25.0,7.8,5.8,14.9,20.5,110.8,25.5,12.0,30.0,16.0,26.0,-3.71,0.58,-3.14,108.4,112.1,-3.7,97.4,0.27,0.41,0.55,0.51,13.0,22.6,0.21,0.55,13.5,Detroit Pistons
0,43.0,240.0,41.9,86.8,0.48,14.3,34.7,0.41,27.6,52.1,0.53,16.6,19.7,0.84,9.4,34.6,44.0,24.3,7.4,4.3,13.1,19.2,114.7,40.8,86.8,0.47,11.9,32.8,0.36,28.9,54.0,0.54,15.7,20.2,0.78,8.9,32.4,41.2,23.4,7.2,3.5,13.2,17.9,109.3,29.1,27.0,16.0,28.0,15.0,5.4,-0.16,5.23,117.7,112.2,5.5,97.4,0.23,0.4,0.6,0.56,12.0,22.6,0.19,0.54,12.1,Los Angeles Clippers
