Away, Away_Score, Home, Home_Score
Boston Celtics, 91, Washington Wizards, 104
San Antonio Spurs, 122, Charlotte Hornets, 110
New Orleans Pelicans, 112, Detroit Pistons, 123
Minnesota Timberwolves, 116, Toronto Raptors, 112
Portland Trail Blazers, 121, Dallas Mavericks, 118
Milwaukee Bucks, 109, Oklahoma City Thunder, 114
Orlando Magic, 90, Phoenix Suns, 109
Los Angeles Lakers, 105, Denver Nuggets, 122
Cleveland Cavaliers, 111, Los Angeles Clippers, 128
Memphis Grizzlies, 124, Sacramento Kings, 110
Chicago Bulls, 120, Indiana Pacers, 112
Houston Rockets, 119, Washington Wizards, 131
Atlanta Hawks, 112, New York Knicks, 123
Philadelphia 76ers, 123, Utah Jazz, 134
Cleveland Cavaliers, 98, Golden State Warriors, 129
Miami Heat, 118, Los Angeles Clippers, 125
Brooklyn Nets, 136, Sacramento Kings, 125
Denver Nuggets, 99, Boston Celtics, 112
New Orleans Pelicans, 144, Memphis Grizzlies, 113
Toronto Raptors, 124, Milwaukee Bucks, 113
Los Angeles Lakers, 112, Minnesota Timberwolves, 104
Portland Trail Blazers, 115, Oklahoma City Thunder, 104
Brooklyn Nets, 128, Phoenix Suns, 124
New York Knicks, 89, Orlando Magic, 107
Atlanta Hawks, 122, Boston Celtics, 114
Houston Rockets, 113, Philadelphia 76ers, 118
Detroit Pistons, 102, Chicago Bulls, 105
Indiana Pacers, 134, Minnesota Timberwolves, 128
Denver Nuggets, 128, Washington Wizards, 130
Oklahoma City Thunder, 113, Memphis Grizzlies, 122
Portland Trail Blazers, 126, New Orleans Pelicans, 124
Miami Heat, 112, Golden State Warriors, 120
Utah Jazz, 114, Los Angeles Clippers, 96
Toronto Raptors, 110, Milwaukee Bucks, 96
Brooklyn Nets, 109, Los Angeles Lakers, 98
Miami Heat, 118, Sacramento Kings, 110
Denver Nuggets, 120, Cleveland Cavaliers, 103
Golden State Warriors, 120, Orlando Magic, 124
Atlanta Hawks, 109, Boston Celtics, 121
Chicago Bulls, 105, Philadelphia 76ers, 112
Detroit Pistons, 95, Memphis Grizzlies, 109
Oklahoma City Thunder, 85, Milwaukee Bucks, 98
Phoenix Suns, 132, New Orleans Pelicans, 114
Toronto Raptors, 86, Minnesota Timberwolves, 81
Utah Jazz, 112, Los Angeles Clippers, 116
Golden State Warriors, 100, Charlotte Hornets, 102
Miami Heat, 96, Los Angeles Lakers, 94
Sacramento Kings, 114, Chicago Bulls, 122
Phoenix Suns, 128, Memphis Grizzlies, 97
Washington Wizards, 118, Portland Trail Blazers, 111
Boston Celtics, 115, New Orleans Pelicans, 120
Oklahoma City Thunder, 117, Cleveland Cavaliers, 101
Minnesota Timberwolves, 99, New York Knicks, 103
Detroit Pistons, 96, Orlando Magic, 105
Philadelphia 76ers, 103, Toronto Raptors, 110
Denver Nuggets, 115, Atlanta Hawks, 123
Brooklyn Nets, 112, Los Angeles Clippers, 108
Sacramento Kings, 115, Milwaukee Bucks, 128
Chicago Bulls, 120, Houston Rockets, 100
Memphis Grizzlies, 92, Dallas Mavericks, 102
Miami Heat, 108, Oklahoma City Thunder, 94
Portland Trail Blazers, 100, Phoenix Suns, 132
Charlotte Hornets, 110, Utah Jazz, 132
Washington Wizards, 127, Los Angeles Lakers, 124
Atlanta Hawks, 111, Cleveland Cavaliers, 112
Detroit Pistons, 105, Orlando Magic, 93
Sacramento Kings, 118, Brooklyn Nets, 127
Boston Celtics, 107, Dallas Mavericks, 110
Golden State Warriors, 114, New York Knicks, 106
Philadelphia 76ers, 109, Toronto Raptors, 102
Minnesota Timberwolves, 112, Milwaukee Bucks, 139
Portland Trail Blazers, 106, Denver Nuggets, 111
Washington Wizards, 116, Los Angeles Clippers, 135
Boston Celtics, 112, Atlanta Hawks, 127
Houston Rockets, 96, Cleveland Cavaliers, 112
Golden State Warriors, 111, Indiana Pacers, 107
Minnesota Timberwolves, 126, Chicago Bulls, 133
Toronto Raptors, 108, Miami Heat, 116
Detroit Pistons, 118, New Orleans Pelicans, 128
San Antonio Spurs, 99, Oklahoma City Thunder, 102
Charlotte Hornets, 124, Phoenix Suns, 121
Los Angeles Lakers, 89, Utah Jazz, 114
Dallas Mavericks, 97, Philadelphia 76ers, 111
Orlando Magic, 92, Brooklyn Nets, 129
Sacramento Kings, 121, New York Knicks, 140
Los Angeles Clippers, 94, Memphis Grizzlies, 122
Washington Wizards, 112, Denver Nuggets, 110
New Orleans Pelicans, 125, Milwaukee Bucks, 129
Indiana Pacers, 112, Boston Celtics, 118
Houston Rockets, 111, Toronto Raptors, 122
Phoenix Suns, 106, Chicago Bulls, 97
Sacramento Kings, 110, Detroit Pistons, 107
Los Angeles Clippers, 119, Memphis Grizzlies, 99
Utah Jazz, 116, Miami Heat, 124
Atlanta Hawks, 109, Oklahoma City Thunder, 118
Charlotte Hornets, 121, Golden State Warriors, 130
Portland Trail Blazers, 93, Los Angeles Lakers, 102
Cleveland Cavaliers, 112, Philadelphia 76ers, 109
Minnesota Timberwolves, 112, Washington Wizards, 128
Indiana Pacers, 107, New York Knicks, 110
Denver Nuggets, 126, Oklahoma City Thunder, 96
Utah Jazz, 124, Orlando Magic, 109
New Orleans Pelicans, 114, San Antonio Spurs, 117
Dallas Mavericks, 115, Brooklyn Nets, 98
