Away, Away_Score, Home, Home_Score
Philadelphia 76ers, 114, Cleveland Cavaliers, 94
Washington Wizards, 91, Detroit Pistons, 120
Charlotte Hornets, 89, Brooklyn Nets, 111
Golden State Warriors, 109, Miami Heat, 116
Orlando Magic, 115, New Orleans Pelicans, 110
Atlanta Hawks, 134, San Antonio Spurs, 129
Denver Nuggets, 101, Los Angeles Clippers, 94
Golden State Warriors, 77, Toronto Raptors, 130
Houston Rockets, 102, Boston Celtics, 118
Dallas Mavericks, 99, New York Knicks, 86
Charlotte Hornets, 114, Indiana Pacers, 97
Minnesota Timberwolves, 108, Memphis Grizzlies, 120
Atlanta Hawks, 126, New Orleans Pelicans, 103
Chicago Bulls, 106, Utah Jazz, 113
Oklahoma City Thunder, 103, Phoenix Suns, 140
Milwaukee Bucks, 127, Portland Trail Blazers, 109
Los Angeles Lakers, 115, Sacramento Kings, 94
Dallas Mavericks, 109, Washington Wizards, 87
New York Knicks, 125, Detroit Pistons, 81
Cleveland Cavaliers, 101, Miami Heat, 115
Minnesota Timberwolves, 113, Philadelphia 76ers, 122
Indiana Pacers, 139, San Antonio Spurs, 133
Orlando Magic, 91, Utah Jazz, 137
Oklahoma City Thunder, 85, Portland Trail Blazers, 133
Milwaukee Bucks, 129, Sacramento Kings, 128
Brooklyn Nets, 107, Chicago Bulls, 115
Los Angeles Lakers, 86, Los Angeles Clippers, 104
Charlotte Hornets, 86, Boston Celtics, 116
Memphis Grizzlies, 116, Philadelphia 76ers, 100
Golden State Warriors, 111, Atlanta Hawks, 117
New Orleans Pelicans, 122, Houston Rockets, 115
Orlando Magic, 109, Denver Nuggets, 119
