,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,33.0,240.8,42.3,89.1,0.47,12.2,33.5,0.36,30.2,55.6,0.54,17.2,23.8,0.72,10.4,32.4,42.8,25.7,6.7,5.0,14.0,19.9,114.0,44.4,90.5,0.49,13.5,33.6,0.4,30.9,56.9,0.54,17.7,22.1,0.8,10.4,34.5,44.9,26.2,7.8,4.9,13.2,20.2,120.1,25.6,13.0,20.0,11.0,22.0,-6.09,0.95,-5.14,113.2,119.2,-6.0,100.4,0.27,0.38,0.57,0.54,12.3,23.2,0.19,0.57,11.6,Sacramento Kings
0,33.0,241.5,42.7,88.4,0.48,11.8,32.5,0.36,30.9,55.9,0.55,18.4,25.1,0.73,11.8,34.5,46.3,25.4,7.4,3.9,14.0,17.5,115.5,41.9,88.2,0.47,15.8,40.1,0.39,26.1,48.1,0.54,16.1,20.2,0.8,8.8,31.8,40.6,27.7,7.1,5.5,13.2,21.1,115.7,25.1,14.0,19.0,16.0,17.0,-0.18,0.37,0.19,116.3,116.4,-0.1,98.7,0.28,0.37,0.58,0.55,12.4,27.0,0.21,0.56,12.0,New Orleans Pelicans
0,34.0,240.0,41.1,87.6,0.47,16.9,42.8,0.4,24.2,44.9,0.54,17.0,21.9,0.78,11.0,37.1,48.1,23.9,6.2,5.4,14.3,18.7,116.2,40.4,91.1,0.44,11.1,31.4,0.35,29.4,59.7,0.49,14.6,18.8,0.78,9.9,32.1,42.0,21.9,7.3,4.1,11.6,19.6,106.5,28.4,27.0,7.0,26.0,8.0,9.71,0.61,10.32,118.1,108.3,9.8,98.4,0.25,0.49,0.6,0.57,12.8,25.5,0.19,0.5,10.4,Utah Jazz
0,31.0,240.8,39.2,88.5,0.44,13.8,40.7,0.34,25.5,47.8,0.53,16.5,21.8,0.75,8.7,34.4,43.1,22.8,7.8,5.6,14.7,20.3,108.7,40.7,88.6,0.46,12.2,33.1,0.37,28.5,55.5,0.51,18.3,23.6,0.78,10.1,37.8,47.9,23.0,8.0,6.0,15.5,19.3,111.9,28.4,11.0,20.0,12.0,19.0,-3.26,-1.08,-4.34,106.6,109.8,-3.2,101.6,0.25,0.46,0.55,0.52,13.0,18.7,0.19,0.53,13.5,Houston Rockets
0,34.0,243.7,39.6,87.7,0.45,9.4,27.3,0.34,30.2,60.4,0.5,15.9,22.1,0.72,11.5,32.2,43.7,23.4,8.4,5.3,15.7,19.4,104.5,41.6,86.6,0.48,13.2,32.9,0.4,28.4,53.7,0.53,16.1,21.1,0.77,9.9,33.5,43.4,24.8,8.5,6.0,15.4,20.3,112.6,24.1,13.0,21.0,9.0,25.0,-8.15,0.81,-7.34,105.4,113.7,-8.3,97.6,0.25,0.31,0.54,0.51,13.9,25.6,0.18,0.56,13.9,Cleveland Cavaliers
0,34.0,240.7,41.4,88.9,0.47,14.1,37.9,0.37,27.4,51.0,0.54,17.7,22.6,0.79,7.9,35.4,43.4,28.1,7.9,5.1,14.7,21.8,114.7,39.6,89.7,0.44,13.3,35.5,0.37,26.3,54.2,0.48,20.3,25.7,0.79,11.0,36.9,47.9,23.6,7.3,4.8,15.8,20.9,112.7,27.1,19.0,15.0,19.0,15.0,2.0,-0.06,1.94,111.0,109.0,2.0,103.0,0.25,0.43,0.58,0.55,13.0,17.6,0.2,0.52,13.5,Golden State Warriors
0,32.0,240.8,40.5,91.6,0.44,16.0,42.1,0.38,24.5,49.5,0.49,17.1,20.8,0.82,10.8,33.7,44.5,19.9,7.1,5.1,11.6,19.7,114.2,41.8,88.0,0.47,12.9,35.1,0.37,28.9,52.9,0.55,18.8,23.9,0.79,10.1,36.3,46.4,24.9,6.3,4.6,12.8,18.2,115.2,27.1,18.0,14.0,15.0,17.0,-1.03,-0.33,-1.36,115.4,116.4,-1.0,98.6,0.23,0.46,0.57,0.53,10.3,22.9,0.19,0.55,11.5,Portland Trail Blazers
0,34.0,240.0,39.8,88.0,0.45,15.4,40.2,0.38,24.4,47.8,0.51,17.9,21.5,0.83,9.4,32.5,41.9,25.1,8.6,5.7,13.7,21.9,112.9,38.1,84.4,0.45,14.0,37.6,0.37,24.2,46.9,0.52,20.2,25.3,0.8,9.7,35.1,44.9,26.4,6.7,5.9,16.4,19.9,110.4,27.2,17.0,17.0,20.0,14.0,2.41,-0.4,2.02,113.4,111.0,2.4,99.5,0.24,0.46,0.58,0.54,12.3,21.0,0.2,0.53,14.6,Toronto Raptors
0,33.0,240.0,44.8,91.6,0.49,14.8,37.5,0.4,30.0,54.1,0.55,15.6,21.3,0.73,10.6,37.8,48.3,26.2,8.2,4.8,13.6,18.1,120.1,41.6,91.5,0.46,14.4,37.9,0.38,27.2,53.5,0.51,14.8,19.1,0.78,9.2,33.8,43.0,24.9,6.4,4.9,13.0,18.5,112.5,28.0,20.0,13.0,24.0,9.0,7.61,-0.56,7.05,118.1,110.6,7.5,101.7,0.23,0.41,0.59,0.57,11.9,23.8,0.17,0.53,11.5,Milwaukee Bucks
0,34.0,243.7,41.7,87.0,0.48,10.8,30.9,0.35,30.9,56.1,0.55,17.0,22.7,0.75,9.8,35.6,45.4,24.7,7.1,6.2,15.1,18.8,111.2,40.0,89.0,0.45,11.6,32.9,0.35,28.4,56.0,0.51,14.4,18.9,0.76,9.1,33.2,42.3,24.6,8.2,4.0,14.5,21.6,106.1,29.0,23.0,11.0,22.0,12.0,5.12,-0.83,4.29,110.9,105.8,5.1,98.8,0.26,0.35,0.57,0.54,13.5,22.8,0.2,0.52,13.0,Los Angeles Lakers
