TEAM,Los Angeles Clippers,Miami Heat,Philadelphia 76ers,Toronto Raptors,Utah Jazz,Boston Celtics,Dallas Mavericks,Denver Nuggets,Houston Rockets,Los Angeles Lakers,Minnesota Timberwolves,Phoenix Suns,Portland Trail Blazers,San Antonio Spurs,Atlanta Hawks,Charlotte Hornets,Cleveland Cavaliers,Detroit Pistons,Milwaukee Bucks,Orlando Magic,Brooklyn Nets,Chicago Bulls,Golden State Warriors,Indiana Pacers,Memphis Grizzlies,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Washington Wizards,Sacramento Kings
PTS OFF TO,21.3,18.4,23.8,18,17.8,25,16.5,17.2,18.5,20,18.3,22.2,16.6,13.5,19.4,15.8,11,14.2,17.8,15.3,19.3,20.6,20.3,23.8,15.8,20,19.4,15.2,15.8,16.6
2ND PTS,12.8,12.8,16.8,7.2,6.8,14.8,13,12.6,18.5,13,14,11.6,13.2,12.8,12.2,12.6,12.5,12.8,10.5,14.3,12.5,16.4,16.8,15,16,10.4,16.6,12.4,14.8,15.2
FBPS,15.2,10.4,11,20,14.4,11.5,15.3,10.8,18.8,15.3,10.8,16.8,15.2,21.3,11.2,16.4,8.8,8,18.3,11.3,16.5,15.8,16.5,10.5,16.5,19.4,10.4,9.8,12.8,12.4
PITP,49.3,47.2,53.5,45.2,45.2,45.5,44,44.8,52.5,50,51.5,51.2,44,53.5,52,46.4,50,44.8,45,42,52.5,52,50,51,52.5,50,41.2,44.8,47.5,40
OPP PTS OFF TO,19.5,22.8,18,19.6,15.2,11.8,15,12.6,18.3,15.3,16.5,17.4,17.6,21.5,18,24.8,19.8,24,16,11.8,20.8,13.4,22.5,12.5,21.8,21.4,22.8,15,17,21.8
OPP 2ND PTS,8.7,14.2,10,13.2,9.2,13,14.5,11.2,15,14.3,13.3,12,14.6,13,14.8,18.6,13.8,12,11.8,9.3,13,15.8,12.3,14.3,16.5,17,13.8,10.4,15.3,13.8
OPP FBPS,14.3,15.2,9.5,10.8,8.4,8.5,16.3,17.6,12.8,18.5,13,16,11,18,9.2,15.8,16,14.4,15,11.3,11,16.8,19,6.5,20.5,20,18.2,11.8,13.8,11
OPP PITP,44.3,48.8,45.5,42.8,38.4,42,49,47.6,50.5,42,52.5,42.4,39.2,51,42.8,62.4,50.5,54.8,41.5,41,49.5,48.8,56,49,53.5,59.6,43.2,45.2,50,52.8
