date,time,away,score_away,home,score_home,audience
"Mon, Dec 9, 2019",8:00p,Detroit Pistons,105,New Orleans Pelicans,103,"13,694"
"Mon, Dec 9, 2019",9:00p,Minnesota Timberwolves,109,Phoenix Suns,125,"13,230"
"Mon, Dec 9, 2019",9:00p,Oklahoma City Thunder,104,Utah Jazz,90,"18,306"
"Mon, Dec 9, 2019",10:30p,Memphis Grizzlies,110,Golden State Warriors,102,"18,064"
"Tue, Dec 10, 2019",7:00p,Washington Wizards,107,Charlotte Hornets,114,"10,626"
"Tue, Dec 10, 2019",8:00p,Atlanta Hawks,121,Miami Heat,135,"19,600"
"Tue, Dec 10, 2019",8:00p,Denver Nuggets,92,Philadelphia 76ers,97,"20,591"
"Tue, Dec 10, 2019",10:00p,New York Knicks,87,Portland Trail Blazers,115,"19,393"
"Wed, Dec 11, 2019",7:00p,Houston Rockets,116,Cleveland Cavaliers,110,"17,122"
"Wed, Dec 11, 2019",7:00p,Boston Celtics,117,Indiana Pacers,122,"15,637"
"Wed, Dec 11, 2019",7:00p,Los Angeles Lakers,96,Orlando Magic,87,"18,846"
"Wed, Dec 11, 2019",7:00p,Los Angeles Clippers,112,Toronto Raptors,92,"20,144"
"Wed, Dec 11, 2019",7:30p,Charlotte Hornets,113,Brooklyn Nets,108,"15,631"
"Wed, Dec 11, 2019",8:00p,Atlanta Hawks,102,Chicago Bulls,136,"15,084"
"Wed, Dec 11, 2019",8:00p,Utah Jazz,127,Minnesota Timberwolves,116,"12,369"
"Wed, Dec 11, 2019",9:00p,Memphis Grizzlies,115,Phoenix Suns,108,"12,254"
"Wed, Dec 11, 2019",9:30p,New Orleans Pelicans,112,Milwaukee Bucks,127,"17,385"
"Wed, Dec 11, 2019",10:00p,Oklahoma City Thunder,93,Sacramento Kings,94,"16,723"
"Wed, Dec 11, 2019",10:30p,New York Knicks,124,Golden State Warriors,122,"18,064"
"Thu, Dec 12, 2019",8:00p,Philadelphia 76ers,115,Boston Celtics,109,"19,156"
"Thu, Dec 12, 2019",8:30p,Cleveland Cavaliers,118,San Antonio Spurs,109,"18,354"
"Thu, Dec 12, 2019",9:00p,Dallas Mavericks,122,Detroit Pistons,111,"20,064"
"Thu, Dec 12, 2019",10:30p,Portland Trail Blazers,99,Denver Nuggets,114,"18,828"
"Fri, Dec 13, 2019",7:00p,Los Angeles Lakers,113,Miami Heat,110,"20,013"
"Fri, Dec 13, 2019",7:00p,Houston Rockets,130,Orlando Magic,107,"16,335"
"Fri, Dec 13, 2019",7:00p,New Orleans Pelicans,109,Philadelphia 76ers,116,"20,620"
"Fri, Dec 13, 2019",7:30p,Indiana Pacers,110,Atlanta Hawks,100,"15,121"
