date,time,away,score_away,home,score_home,audience
"Sun, Mar 1, 2020",1:00p,Milwaukee Bucks,93,Charlotte Hornets,85,"19,149"
"Sun, Mar 1, 2020",3:30p,Philadelphia 76ers,130,Los Angeles Clippers,136,"19,068"
"Sun, Mar 1, 2020",3:30p,Dallas Mavericks,111,Minnesota Timberwolves,91,"18,058"
"Sun, Mar 1, 2020",6:00p,Toronto Raptors,118,Denver Nuggets,133,"19,777"
"Sun, Mar 1, 2020",6:00p,Detroit Pistons,100,Sacramento Kings,106,"17,499"
"Sun, Mar 1, 2020",8:00p,Los Angeles Lakers,122,New Orleans Pelicans,114,"18,547"
"Sun, Mar 1, 2020",8:30p,Washington Wizards,124,Golden State Warriors,110,"18,064"
"Mon, Mar 2, 2020",7:00p,Utah Jazz,126,Cleveland Cavaliers,113,"15,453"
"Mon, Mar 2, 2020",7:00p,Houston Rockets,123,New York Knicks,125,"18,142"
"Mon, Mar 2, 2020",7:00p,Portland Trail Blazers,130,Orlando Magic,107,"18,078"
"Mon, Mar 2, 2020",7:30p,Memphis Grizzlies,127,Atlanta Hawks,88,"16,207"
"Mon, Mar 2, 2020",7:30p,Milwaukee Bucks,89,Miami Heat,105,"19,600"
"Mon, Mar 2, 2020",8:00p,Dallas Mavericks,107,Chicago Bulls,109,"18,407"
"Mon, Mar 2, 2020",8:30p,Indiana Pacers,116,San Antonio Spurs,111,"17,635"
"Tue, Mar 3, 2020",7:00p,San Antonio Spurs,104,Charlotte Hornets,103,"12,008"
"Tue, Mar 3, 2020",7:30p,Brooklyn Nets,129,Boston Celtics,120,"19,156"
"Tue, Mar 3, 2020",8:00p,Minnesota Timberwolves,139,New Orleans Pelicans,134,"15,264"
"Tue, Mar 3, 2020",8:00p,Los Angeles Clippers,109,Oklahoma City Thunder,94,"18,203"
"Tue, Mar 3, 2020",9:00p,Golden State Warriors,116,Denver Nuggets,100,"19,520"
"Tue, Mar 3, 2020",9:00p,Toronto Raptors,123,Phoenix Suns,114,"15,553"
"Tue, Mar 3, 2020",10:00p,Philadelphia 76ers,107,Los Angeles Lakers,120,"18,997"
"Tue, Mar 3, 2020",10:00p,Washington Wizards,126,Sacramento Kings,133,"16,419"
"Wed, Mar 4, 2020",7:00p,Boston Celtics,112,Cleveland Cavaliers,106,"16,897"
"Wed, Mar 4, 2020",7:00p,Oklahoma City Thunder,114,Detroit Pistons,107,"15,138"
"Wed, Mar 4, 2020",7:00p,Indiana Pacers,100,Milwaukee Bucks,119,"17,695"
"Wed, Mar 4, 2020",7:30p,Memphis Grizzlies,118,Brooklyn Nets,79,"16,941"
"Wed, Mar 4, 2020",7:30p,Utah Jazz,112,New York Knicks,104,"16,588"
"Wed, Mar 4, 2020",7:30p,Orlando Magic,113,Miami Heat,116,"19,600"
"Wed, Mar 4, 2020",8:00p,Chicago Bulls,108,Minnesota Timberwolves,115,"13,392"
"Wed, Mar 4, 2020",9:30p,New Orleans Pelicans,123,Dallas Mavericks,127,"20,459"
"Wed, Mar 4, 2020",10:00p,Washington Wizards,104,Portland Trail Blazers,125,"19,393"
"Thu, Mar 5, 2020",7:00p,Denver Nuggets,114,Charlotte Hornets,112,"13,311"
"Thu, Mar 5, 2020",8:00p,Los Angeles Clippers,120,Houston Rockets,105,"18,055"
"Thu, Mar 5, 2020",10:00p,Philadelphia 76ers,125,Sacramento Kings,108,"15,485"
"Thu, Mar 5, 2020",10:30p,Toronto Raptors,121,Golden State Warriors,113,"18,064"
"Fri, Mar 6, 2020",7:00p,Atlanta Hawks,112,Washington Wizards,118,"17,856"
"Fri, Mar 6, 2020",7:30p,San Antonio Spurs,120,Brooklyn Nets,139,"16,277"
"Fri, Mar 6, 2020",7:30p,Oklahoma City Thunder,126,New York Knicks,103,"19,499"
"Fri, Mar 6, 2020",8:00p,Indiana Pacers,108,Chicago Bulls,102,"20,229"
"Fri, Mar 6, 2020",8:00p,Orlando Magic,132,Minnesota Timberwolves,118,"14,315"
"Fri, Mar 6, 2020",8:00p,Miami Heat,104,New Orleans Pelicans,110,"18,384"
"Fri, Mar 6, 2020",8:00p,Utah Jazz,99,Boston Celtics,94,"19,156"
"Fri, Mar 6, 2020",8:30p,Memphis Grizzlies,96,Dallas Mavericks,121,"20,370"
"Fri, Mar 6, 2020",9:00p,Portland Trail Blazers,117,Phoenix Suns,127,"15,522"
"Fri, Mar 6, 2020",10:30p,Milwaukee Bucks,103,Los Angeles Lakers,113,"18,997"
"Sat, Mar 7, 2020",5:00p,Houston Rockets,99,Charlotte Hornets,108,"19,159"
"Sat, Mar 7, 2020",7:00p,Utah Jazz,111,Detroit Pistons,105,"16,590"
"Sat, Mar 7, 2020",7:30p,Denver Nuggets,102,Cleveland Cavaliers,104,"19,432"
"Sat, Mar 7, 2020",8:00p,Atlanta Hawks,101,Memphis Grizzlies,118,"17,117"
"Sat, Mar 7, 2020",8:30p,Philadelphia 76ers,114,Golden State Warriors,118,"18,064"
"Sat, Mar 7, 2020",10:00p,Sacramento Kings,123,Portland Trail Blazers,111,"19,691"
"Sun, Mar 8, 2020",3:00p,Chicago Bulls,107,Brooklyn Nets,110,"15,916"
"Sun, Mar 8, 2020",3:30p,New Orleans Pelicans,120,Minnesota Timberwolves,107,"18,978"
"Sun, Mar 8, 2020",3:30p,Los Angeles Lakers,112,Los Angeles Clippers,103,"19,068"
"Sun, Mar 8, 2020",6:00p,Oklahoma City Thunder,105,Boston Celtics,104,"19,156"
"Sun, Mar 8, 2020",6:00p,Milwaukee Bucks,131,Phoenix Suns,140,"17,282"
"Sun, Mar 8, 2020",7:00p,Miami Heat,100,Washington Wizards,89,"18,135"
"Sun, Mar 8, 2020",7:00p,Indiana Pacers,112,Dallas Mavericks,109,"20,324"
"Sun, Mar 8, 2020",7:00p,Orlando Magic,126,Houston Rockets,106,"18,055"
"Sun, Mar 8, 2020",7:30p,Detroit Pistons,84,New York Knicks,96,"18,361"
"Sun, Mar 8, 2020",7:30p,San Antonio Spurs,129,Cleveland Cavaliers,132,"17,995"
"Sun, Mar 8, 2020",9:00p,Toronto Raptors,118,Sacramento Kings,113,"16,449"
"Mon, Mar 9, 2020",7:30p,Charlotte Hornets,138,Atlanta Hawks,143,"14,399"
"Mon, Mar 9, 2020",9:00p,Milwaukee Bucks,95,Denver Nuggets,109,"19,838"
"Mon, Mar 9, 2020",9:00p,Toronto Raptors,101,Utah Jazz,92,"18,306"
"Tue, Mar 10, 2020",7:00p,New York Knicks,115,Washington Wizards,122,"15,048"
"Tue, Mar 10, 2020",7:00p,Boston Celtics,114,Indiana Pacers,111,"17,053"
"Tue, Mar 10, 2020",8:00p,Minnesota Timberwolves,111,Houston Rockets,117,"18,055"
"Tue, Mar 10, 2020",8:00p,Dallas Mavericks,109,San Antonio Spurs,119,"18,354"
"Tue, Mar 10, 2020",8:00p,Orlando Magic,120,Memphis Grizzlies,115,"15,388"
"Tue, Mar 10, 2020",8:00p,Cleveland Cavaliers,103,Chicago Bulls,108,"17,837"
"Tue, Mar 10, 2020",10:00p,Phoenix Suns,105,Portland Trail Blazers,121,"19,393"
"Tue, Mar 10, 2020",10:30p,Brooklyn Nets,104,Los Angeles Lakers,102,"18,997"
"Tue, Mar 10, 2020",10:30p,Los Angeles Clippers,131,Golden State Warriors,107,"18,064"
"Wed, Mar 11, 2020",7:00p,Detroit Pistons,106,Philadelphia 76ers,124,"20,172"
"Wed, Mar 11, 2020",7:30p,New York Knicks,136,Atlanta Hawks,131,"15,393"
"Wed, Mar 11, 2020",7:30p,Charlotte Hornets,109,Miami Heat,98,"19,600"
"Wed, Mar 11, 2020",8:00p,Denver Nuggets,97,Dallas Mavericks,113,"20,302"
