date,time,away,score_away,home,score_home,audience
"Wed, Jan 8, 2020",7:00p,Toronto Raptors,112,Charlotte Hornets,110,"13,965"
"Wed, Jan 8, 2020",7:00p,Miami Heat,122,Indiana Pacers,108,"17,040"
"Wed, Jan 8, 2020",7:00p,Washington Wizards,89,Orlando Magic,123,"16,013"
"Wed, Jan 8, 2020",7:30p,Houston Rockets,122,Atlanta Hawks,115,"16,514"
"Wed, Jan 8, 2020",7:30p,Denver Nuggets,107,Dallas Mavericks,106,"20,314"
"Wed, Jan 8, 2020",8:00p,Chicago Bulls,108,New Orleans Pelicans,123,"15,324"
"Wed, Jan 8, 2020",9:00p,New York Knicks,104,Utah Jazz,128,"18,306"
"Wed, Jan 8, 2020",10:00p,Milwaukee Bucks,107,Golden State Warriors,98,"18,064"
"Thu, Jan 9, 2020",7:00p,Cleveland Cavaliers,115,Detroit Pistons,112,"13,445"
"Thu, Jan 9, 2020",7:00p,Boston Celtics,98,Philadelphia 76ers,109,"20,822"
"Thu, Jan 9, 2020",8:00p,Portland Trail Blazers,102,Minnesota Timberwolves,116,"13,720"
"Thu, Jan 9, 2020",9:30p,Houston Rockets,92,Oklahoma City Thunder,113,"18,203"
"Fri, Jan 10, 2020",7:00p,Atlanta Hawks,101,Washington Wizards,111,"16,360"
"Fri, Jan 10, 2020",7:15p,New Orleans Pelicans,123,New York Knicks,111,"18,003"
"Fri, Jan 10, 2020",7:30p,Miami Heat,113,Brooklyn Nets,117,"16,011"
"Fri, Jan 10, 2020",8:00p,Indiana Pacers,116,Chicago Bulls,105,"20,229"
"Fri, Jan 10, 2020",8:00p,San Antonio Spurs,121,Memphis Grizzlies,134,"16,448"
"Fri, Jan 10, 2020",9:00p,Orlando Magic,94,Phoenix Suns,98,"14,562"
"Fri, Jan 10, 2020",9:00p,Charlotte Hornets,92,Utah Jazz,109,"18,306"
"Fri, Jan 10, 2020",9:45p,Los Angeles Lakers,129,Dallas Mavericks,114,"20,542"
"Fri, Jan 10, 2020",10:00p,Milwaukee Bucks,127,Sacramento Kings,106,"17,583"
"Fri, Jan 10, 2020",10:30p,Golden State Warriors,100,Los Angeles Clippers,109,"19,068"
"Sat, Jan 11, 2020",5:00p,Minnesota Timberwolves,109,Houston Rockets,139,"18,055"
