date,time,away,score_away,home,score_home,audience
"Sun, Nov 10, 2019",6:00p,Indiana Pacers,109,Orlando Magic,102,"17,118"
"Sun, Nov 10, 2019",6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,"20,311"
"Sun, Nov 10, 2019",7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,"18,203"
"Sun, Nov 10, 2019",7:30p,Cleveland Cavaliers,108,New York Knicks,87,"19,812"
"Sun, Nov 10, 2019",8:00p,Brooklyn Nets,112,Phoenix Suns,138,"17,290"
"Sun, Nov 10, 2019",9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,"20,041"
"Sun, Nov 10, 2019",9:30p,Toronto Raptors,113,Los Angeles Lakers,104,"18,997"
"Mon, Nov 11, 2019",7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,"12,526"
"Mon, Nov 11, 2019",7:30p,Dallas Mavericks,106,Boston Celtics,116,"18,624"
"Mon, Nov 11, 2019",7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,"18,627"
"Mon, Nov 11, 2019",8:00p,Houston Rockets,122,New Orleans Pelicans,116,"16,695"
"Mon, Nov 11, 2019",10:30p,Utah Jazz,122,Golden State Warriors,108,"18,064"
"Mon, Nov 11, 2019",10:30p,Toronto Raptors,88,Los Angeles Clippers,98,"19,068"
"Tue, Nov 12, 2019",7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,"15,838"
"Tue, Nov 12, 2019",7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,"20,294"
"Tue, Nov 12, 2019",7:30p,Detroit Pistons,108,Miami Heat,117,"19,600"
"Tue, Nov 12, 2019",8:00p,New York Knicks,102,Chicago Bulls,120,"18,668"
"Tue, Nov 12, 2019",9:00p,Atlanta Hawks,125,Denver Nuggets,121,"18,327"
"Tue, Nov 12, 2019",9:00p,Los Angeles Lakers,123,Phoenix Suns,115,"18,055"
"Tue, Nov 12, 2019",9:00p,Brooklyn Nets,114,Utah Jazz,119,"18,306"
