Away, Away_Score, Home, Home_Score
Chicago Bulls, 110, Washington Wizards, 109
New Orleans Pelicans, 107, Minnesota Timberwolves, 99
Memphis Grizzlies, 122, Oklahoma City Thunder, 126
Orlando Magic, 104, Denver Nuggets, 113
Boston Celtics, 109, Dallas Mavericks, 103
Golden State Warriors, 112, Portland Trail Blazers, 122
Utah Jazz, 111, Atlanta Hawks, 106
Los Angeles Lakers, 104, Milwaukee Bucks, 111
Brooklyn Nets, 105, San Antonio Spurs, 118
Houston Rockets, 122, Los Angeles Clippers, 117
Memphis Grizzlies, 107, Cleveland Cavaliers, 114
Sacramento Kings, 105, Indiana Pacers, 119
Detroit Pistons, 93, Boston Celtics, 114
Washington Wizards, 118, Toronto Raptors, 122
New York Knicks, 114, Miami Heat, 129
Phoenix Suns, 108, Oklahoma City Thunder, 126
Dallas Mavericks, 117, Philadelphia 76ers, 98
Minnesota Timberwolves, 100, Denver Nuggets, 109
Orlando Magic, 103, Portland Trail Blazers, 118
New Orleans Pelicans, 102, Golden State Warriors, 106
Utah Jazz, 114, Charlotte Hornets, 107
Atlanta Hawks, 112, Brooklyn Nets, 122
Chicago Bulls, 119, Detroit Pistons, 107
Washington Wizards, 108, Philadelphia 76ers, 125
Milwaukee Bucks, 123, New York Knicks, 102
Sacramento Kings, 115, Memphis Grizzlies, 119
Los Angeles Clippers, 134, San Antonio Spurs, 109
Houston Rockets, 139, Phoenix Suns, 125
Minnesota Timberwolves, 106, Portland Trail Blazers, 113
Dallas Mavericks, 107, Toronto Raptors, 110
Charlotte Hornets, 93, Boston Celtics, 119
Indiana Pacers, 89, Milwaukee Bucks, 117
Los Angeles Clippers, 112, Oklahoma City Thunder, 118
Denver Nuggets, 128, Los Angeles Lakers, 104
Atlanta Hawks, 118, Cleveland Cavaliers, 121
Philadelphia 76ers, 125, Detroit Pistons, 109
Toronto Raptors, 115, Indiana Pacers, 120
Washington Wizards, 121, New York Knicks, 115
Chicago Bulls, 95, Orlando Magic, 103
Utah Jazz, 104, Miami Heat, 107
San Antonio Spurs, 145, Memphis Grizzlies, 115
Denver Nuggets, 113, Phoenix Suns, 111
New Orleans Pelicans, 102, Portland Trail Blazers, 94
Houston Rockets, 113, Sacramento Kings, 104
Minnesota Timberwolves, 104, Golden State Warriors, 113
Boston Celtics, 118, Toronto Raptors, 102
Milwaukee Bucks, 109, Philadelphia 76ers, 121
Houston Rockets, 104, Golden State Warriors, 116
Los Angeles Clippers, 111, Los Angeles Lakers, 106
New Orleans Pelicans, 112, Denver Nuggets, 100
Washington Wizards, 102, Detroit Pistons, 132
New York Knicks, 94, Brooklyn Nets, 82
San Antonio Spurs, 98, Dallas Mavericks, 102
Memphis Grizzlies, 110, Oklahoma City Thunder, 97
Minnesota Timberwolves, 105, Sacramento Kings, 104
Portland Trail Blazers, 115, Utah Jazz, 121
Cleveland Cavaliers, 117, Boston Celtics, 129
Oklahoma City Thunder, 104, Charlotte Hornets, 102
Philadelphia 76ers, 97, Orlando Magic, 98
Milwaukee Bucks, 112, Atlanta Hawks, 86
Indiana Pacers, 112, Miami Heat, 113
Phoenix Suns, 96, Golden State Warriors, 105
Memphis Grizzlies, 110, Denver Nuggets, 119
Toronto Raptors, 113, Boston Celtics, 97
Indiana Pacers, 98, New Orleans Pelicans, 120
Atlanta Hawks, 81, Chicago Bulls, 116
Brooklyn Nets, 98, Houston Rockets, 108
Philadelphia 76ers, 116, Miami Heat, 117
Cleveland Cavaliers, 94, Minnesota Timberwolves, 88
New York Knicks, 107, Washington Wizards, 100
Dallas Mavericks, 141, Golden State Warriors, 121
Orlando Magic, 100, Milwaukee Bucks, 111
Detroit Pistons, 109, San Antonio Spurs, 136
Phoenix Suns, 112, Sacramento Kings, 110
Los Angeles Lakers, 128, Portland Trail Blazers, 120
Utah Jazz, 120, Los Angeles Clippers, 107
Oklahoma City Thunder, 98, Toronto Raptors, 97
Sacramento Kings, 115, Denver Nuggets, 120
Charlotte Hornets, 104, Memphis Grizzlies, 117
Houston Rockets, 112, New Orleans Pelicans, 127
Dallas Mavericks, 95, Los Angeles Lakers, 108
Atlanta Hawks, 101, Orlando Magic, 93
Miami Heat, 105, Washington Wizards, 123
Milwaukee Bucks, 123, Chicago Bulls, 102
Brooklyn Nets, 115, Minnesota Timberwolves, 122
Detroit Pistons, 81, Utah Jazz, 104
Phoenix Suns, 122, Portland Trail Blazers, 116
Boston Celtics, 109, Charlotte Hornets, 92
Philadelphia 76ers, 97, Indiana Pacers, 115
Los Angeles Clippers, 105, Sacramento Kings, 87
Denver Nuggets, 104, Houston Rockets, 130
Golden State Warriors, 113, San Antonio Spurs, 117
Cleveland Cavaliers, 97, Toronto Raptors, 117
Dallas Mavericks, 101, Oklahoma City Thunder, 106
