,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,65.0,241.9,40.3,87.9,0.46,11.2,31.8,0.35,29.1,56.1,0.52,15.1,19.9,0.76,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9,43.9,89.4,0.49,12.4,33.0,0.38,31.5,56.4,0.56,14.7,19.2,0.77,9.7,33.1,42.9,26.1,9.4,6.3,13.0,19.6,114.8,25.0,19.0,46.0,18.0,47.0,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.23,0.36,0.55,0.52,14.6,24.6,0.17,0.56,11.7,Cleveland Cavaliers
0,73.0,243.1,42.0,88.9,0.47,11.0,30.6,0.36,31.1,58.3,0.53,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3,40.0,86.5,0.46,12.1,33.9,0.36,27.9,52.6,0.53,17.1,22.5,0.76,10.1,32.6,42.6,25.4,7.2,4.4,14.3,20.5,109.2,25.6,46.0,27.0,41.0,32.0,2.11,0.24,2.35,113.1,111.0,2.1,97.1,0.23,0.34,0.57,0.54,12.3,24.8,0.18,0.53,12.9,Denver Nuggets
0,64.0,243.1,40.4,91.6,0.44,13.3,39.7,0.34,27.1,52.0,0.52,19.1,25.4,0.75,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3,43.1,90.4,0.48,11.6,31.9,0.36,31.6,58.5,0.54,19.7,25.2,0.78,10.1,37.2,47.3,24.4,7.8,5.5,15.5,21.6,117.5,24.8,19.0,45.0,24.0,40.0,-4.3,0.28,-4.02,108.1,112.2,-4.1,103.4,0.28,0.43,0.55,0.51,13.0,22.1,0.21,0.54,13.2,Minnesota Timberwolves
0,72.0,242.8,40.4,90.3,0.45,13.1,38.1,0.34,27.3,52.1,0.52,17.9,24.1,0.74,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8,41.4,92.9,0.45,12.2,34.8,0.35,29.2,58.1,0.5,17.4,22.6,0.77,10.6,35.3,45.9,22.6,7.7,5.3,12.8,21.1,112.3,26.3,35.0,37.0,35.0,37.0,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.27,0.42,0.55,0.52,13.1,23.2,0.2,0.51,11.0,Brooklyn Nets
0,73.0,241.0,43.3,90.9,0.48,13.8,38.9,0.35,29.5,52.0,0.57,18.3,24.7,0.74,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,38.9,94.0,0.41,14.0,39.3,0.35,25.0,54.7,0.46,16.7,21.2,0.79,9.5,36.3,45.8,24.2,7.4,4.5,14.1,21.7,108.6,29.2,56.0,17.0,57.0,16.0,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.27,0.43,0.58,0.55,12.9,20.7,0.2,0.49,12.0,Milwaukee Bucks
0,65.0,242.3,37.3,85.9,0.43,12.1,34.3,0.35,25.2,51.6,0.49,16.2,21.6,0.75,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9,41.7,87.5,0.48,12.4,35.1,0.35,29.3,52.5,0.56,14.0,18.4,0.76,10.9,35.0,46.0,26.6,8.0,5.0,14.4,20.6,109.6,24.3,23.0,42.0,19.0,46.0,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,0.25,0.4,0.54,0.5,13.3,23.9,0.19,0.55,13.1,Charlotte Hornets
0,66.0,241.9,40.0,89.3,0.45,9.6,28.4,0.34,30.4,61.0,0.5,16.3,23.5,0.69,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8,39.9,86.0,0.46,13.3,34.9,0.38,26.6,51.1,0.52,19.2,25.7,0.75,9.6,34.6,44.2,24.3,7.2,5.0,13.7,19.8,112.3,24.5,21.0,45.0,20.0,46.0,-6.45,-0.26,-6.72,106.5,113.0,-6.5,98.6,0.26,0.32,0.53,0.5,12.6,25.8,0.18,0.54,12.4,New York Knicks
0,73.0,240.7,39.3,88.6,0.44,11.1,32.2,0.34,28.3,56.4,0.5,17.6,22.7,0.77,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,40.4,86.9,0.47,12.2,33.6,0.36,28.2,53.3,0.53,15.3,19.8,0.77,9.0,35.8,44.9,24.7,7.0,4.6,14.6,19.5,108.3,26.1,33.0,40.0,34.0,39.0,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,0.26,0.36,0.54,0.51,11.5,22.3,0.2,0.54,13.2,Orlando Magic
0,72.0,242.4,40.9,88.4,0.46,12.7,34.9,0.36,28.2,53.5,0.53,15.7,20.3,0.77,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1,40.3,85.5,0.47,12.4,34.8,0.36,27.8,50.7,0.55,19.2,24.3,0.79,9.1,34.5,43.5,24.9,7.7,4.2,15.2,19.5,112.1,27.0,31.0,41.0,31.0,41.0,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,0.23,0.4,0.57,0.53,13.0,21.9,0.18,0.54,13.6,Sacramento Kings
0,72.0,241.4,40.8,90.4,0.45,15.6,45.3,0.34,25.1,45.2,0.56,20.6,26.1,0.79,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,42.3,91.5,0.46,12.2,35.0,0.35,30.1,56.5,0.53,18.0,23.7,0.76,11.2,36.7,47.9,25.3,8.0,4.9,16.2,21.0,114.8,29.2,44.0,28.0,42.0,30.0,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.29,0.5,0.58,0.54,12.6,21.0,0.23,0.53,13.7,Houston Rockets
