date,time,away,score_away,home,score_home,audience
"Sun, Feb 9, 2020",7:30p,Los Angeles Clippers,133,Cleveland Cavaliers,92,"17,240"
"Sun, Feb 9, 2020",9:00p,Miami Heat,109,Portland Trail Blazers,115,"19,726"
"Mon, Feb 10, 2020",7:00p,Charlotte Hornets,87,Detroit Pistons,76,"13,941"
"Mon, Feb 10, 2020",7:00p,Brooklyn Nets,106,Indiana Pacers,105,"16,761"
"Mon, Feb 10, 2020",7:00p,Atlanta Hawks,126,Orlando Magic,135,"17,076"
"Mon, Feb 10, 2020",7:30p,Minnesota Timberwolves,126,Toronto Raptors,137,"19,800"
"Mon, Feb 10, 2020",8:00p,Sacramento Kings,111,Milwaukee Bucks,123,"17,463"
"Mon, Feb 10, 2020",8:30p,Utah Jazz,123,Dallas Mavericks,119,"19,793"
"Mon, Feb 10, 2020",9:00p,San Antonio Spurs,120,Denver Nuggets,127,"19,520"
"Mon, Feb 10, 2020",10:30p,Miami Heat,113,Golden State Warriors,101,"18,064"
"Mon, Feb 10, 2020",10:30p,Phoenix Suns,100,Los Angeles Lakers,125,"18,997"
"Tue, Feb 11, 2020",7:00p,Los Angeles Clippers,103,Philadelphia 76ers,110,"20,730"
"Tue, Feb 11, 2020",7:00p,Chicago Bulls,114,Washington Wizards,126,"15,135"
"Tue, Feb 11, 2020",8:00p,Portland Trail Blazers,117,New Orleans Pelicans,138,"15,739"
"Tue, Feb 11, 2020",8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,"18,203"
"Tue, Feb 11, 2020",9:30p,Boston Celtics,105,Houston Rockets,116,"18,055"
"Wed, Feb 12, 2020",7:00p,Atlanta Hawks,105,Cleveland Cavaliers,127,"16,200"
"Wed, Feb 12, 2020",7:00p,Detroit Pistons,112,Orlando Magic,116,"16,607"
"Wed, Feb 12, 2020",7:30p,Toronto Raptors,91,Brooklyn Nets,101,"15,823"
"Wed, Feb 12, 2020",7:30p,Milwaukee Bucks,111,Indiana Pacers,118,"17,018"
"Wed, Feb 12, 2020",7:30p,Washington Wizards,114,New York Knicks,96,"18,835"
"Wed, Feb 12, 2020",8:00p,Portland Trail Blazers,104,Memphis Grizzlies,111,"16,889"
"Wed, Feb 12, 2020",8:00p,Charlotte Hornets,115,Minnesota Timberwolves,108,"18,978"
"Wed, Feb 12, 2020",8:30p,Sacramento Kings,111,Dallas Mavericks,130,"19,842"
"Wed, Feb 12, 2020",9:00p,Golden State Warriors,106,Phoenix Suns,112,"15,216"
"Wed, Feb 12, 2020",9:00p,Miami Heat,101,Utah Jazz,116,"18,306"
"Wed, Feb 12, 2020",10:00p,Los Angeles Lakers,120,Denver Nuggets,116,"19,860"
"Thu, Feb 13, 2020",8:00p,Los Angeles Clippers,133,Boston Celtics,141,"19,156"
"Thu, Feb 13, 2020",8:00p,Oklahoma City Thunder,123,New Orleans Pelicans,118,"17,865"
"Thu, Feb 20, 2020",7:00p,Milwaukee Bucks,126,Detroit Pistons,106,"16,097"
